trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
127,False,"{'a': 0.5, 'e': 0.27904208858505886}",20,15,-2.9884271073580075,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2762516676992083}",25,0,-32.99267550752072,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.2734891510222162}",20,2,3.457020728998028,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.27075425951199406}",20,16,5.029953287535122,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2680467169168741}",30,0,23.737849050000673,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.26536624974770534}",20,12,2.0861971958521157,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502283}",20,2,-9.082681234616174,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.26008546137772603}",20,9,3.6896069519100143,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.25748460676394874}",20,0,26.319619800045473,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.2549097606963093}",25,0,11.953051584424355,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.2523606630893462}",30,0,-27.762878996964112,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.2498370564584527}",25,0,21.706291409238776,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.24733868589386818}",35,22,-2.0834238599504835,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.24486529903492948}",20,0,-40.26844811531938,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
141,False,"{'a': 0.5, 'e': 0.2424166460445802}",25,0,5.735267096593457,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.2399924795841344}",25,0,-93.55241470371209,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",30,10,24.168109213099946,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23521662924041012}",25,8,-21.773479216972866,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.232864462948006}",20,12,-80.52811672548889,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 2}",1
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",20,0,-13.345694336848842,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",25,2,23.71102035253896,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",20,15,1.0550044486669314,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.2236886739786474}",25,6,18.76938840937123,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886091}",25,11,-28.63064233427319,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.2192372693664723}",20,5,-52.37137098630013,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.21704489667280757}",20,15,10.090480918152743,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.2148744477060795}",20,12,-77.30368705956158,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 2}",1
154,False,"{'a': 0.5, 'e': 0.2127257032290187}",20,7,20.27443964935783,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
